grid_num,col1_type,col1_code,col1_label,col2_type,col2_code,col2_label,col3_type,col3_code,col3_label,row1_type,row1_code,row1_label,row2_type,row2_code,row2_label,row3_type,row3_code,row3_label
25,team,PHI,Philadelphia Phillies,stat,,Silver Slugger,stat,,Gold Glove,team,STL,St. Louis Cardinals,team,LAD,Los Angeles Dodgers,team,KCR,Kansas City Royals
26,team,COL,Colorado Rockies,stat,,World Series ChampWS Roster,stat,,Rookie of the Year,team,STL,St. Louis Cardinals,team,KCR,Kansas City Royals,team,WSN,Washington Nationals
27,team,BAL,Baltimore Orioles,stat,,Hall of Fame,stat,,MVP,team,OAK, Athletics,team,LAD,Los Angeles Dodgers,team,CHW,Chicago  White Sox
28,team,MIL,Milwaukee Brewers,stat,,Rookie of the Year,stat,,MVP,team,PIT,Pittsburgh Pirates,team,COL,Colorado Rockies,team,DET,Detroit Tigers
29,team,DET,Detroit Tigers,stat,,MVP,stat,,Rookie of the Year,team,NYY,New York Yankees,team,ANA,Los Angeles Angels,team,OAK, Athletics
30,team,FLA,Miami Marlins,stat,,Cy Young,stat,,All Star,team,SDP,San Diego Padres,team,NYM,New York Mets,team,ARI,Arizona Diamondbacks
31,team,ANA,Los Angeles Angels,stat,,All Star,stat,,Silver Slugger,team,KCR,Kansas City Royals,team,TBD,Tampa Bay Rays,team,BOS,Boston   Red Sox
32,team,BOS,Boston   Red Sox,stat,,Rookie of the Year,stat,,Silver Slugger,team,CLE,Cleveland Guardians,team,TOR,Toronto  Blue Jays,team,KCR,Kansas City Royals
33,team,SEA,Seattle Mariners,stat,,All Star,stat,,Gold Glove,team,CLE,Cleveland Guardians,team,MIL,Milwaukee Brewers,team,NYY,New York Yankees
34,team,CHW,Chicago  White Sox,stat,,World Series ChampWS Roster,stat,,Cy Young,team,WSN,Washington Nationals,team,KCR,Kansas City Royals,team,PIT,Pittsburgh Pirates
35,team,WSN,Washington Nationals,stat,,Cy Young,stat,,Rookie of the Year,team,KCR,Kansas City Royals,team,CLE,Cleveland Guardians,team,ANA,Los Angeles Angels
36,team,ANA,Los Angeles Angels,stat,,Cy Young,stat,,Gold Glove,team,SEA,Seattle Mariners,team,CLE,Cleveland Guardians,team,ARI,Arizona Diamondbacks
37,team,CHC,Chicago Cubs,stat,,MVP,stat,,Gold Glove,team,ATL,Atlanta Braves,team,SEA,Seattle Mariners,team,TOR,Toronto  Blue Jays
38,team,HOU,Houston Astros,stat,,MVP,stat,,Rookie of the Year,team,NYY,New York Yankees,team,SFG,San Francisco Giants,team,OAK, Athletics
39,team,TOR,Toronto  Blue Jays,stat,,All Star,stat,,Gold Glove,team,DET,Detroit Tigers,team,PIT,Pittsburgh Pirates,team,CHC,Chicago Cubs
40,team,SDP,San Diego Padres,stat,,Rookie of the Year,stat,,Silver Slugger,team,HOU,Houston Astros,team,TBD,Tampa Bay Rays,team,SFG,San Francisco Giants
41,team,NYY,New York Yankees,stat,,All Star,stat,,Hall of Fame,team,DET,Detroit Tigers,team,COL,Colorado Rockies,team,CLE,Cleveland Guardians
42,team,TBD,Tampa Bay Rays,stat,,Silver Slugger,stat,,Rookie of the Year,team,WSN,Washington Nationals,team,HOU,Houston Astros,team,BOS,Boston   Red Sox
43,team,WSN,Washington Nationals,stat,,Gold Glove,stat,,MVP,team,SFG,San Francisco Giants,team,DET,Detroit Tigers,team,PIT,Pittsburgh Pirates
44,team,BAL,Baltimore Orioles,stat,,Gold Glove,stat,,Rookie of the Year,team,STL,St. Louis Cardinals,team,PIT,Pittsburgh Pirates,team,BOS,Boston   Red Sox
45,team,SEA,Seattle Mariners,stat,,Silver Slugger,stat,,Cy Young,team,OAK, Athletics,team,BAL,Baltimore Orioles,team,HOU,Houston Astros
46,team,SDP,San Diego Padres,stat,,All Star,stat,,MVP,team,MIL,Milwaukee Brewers,team,COL,Colorado Rockies,team,MIN,Minnesota Twins
47,team,TBD,Tampa Bay Rays,stat,,Silver Slugger,stat,,Hall of Fame,team,BOS,Boston   Red Sox,team,NYY,New York Yankees,team,LAD,Los Angeles Dodgers
48,team,HOU,Houston Astros,stat,,All Star,stat,,Gold Glove,team,STL,St. Louis Cardinals,team,MIL,Milwaukee Brewers,team,FLA,Miami Marlins
49,team,NYY,New York Yankees,stat,,Hall of Fame,stat,,Gold Glove,team,CHW,Chicago  White Sox,team,KCR,Kansas City Royals,team,BOS,Boston   Red Sox
50,team,STL,St. Louis Cardinals,stat,,Silver Slugger,stat,,Cy Young,team,SFG,San Francisco Giants,team,ATL,Atlanta Braves,team,CIN,Cincinnati Reds
51,team,CIN,Cincinnati Reds,stat,,Silver Slugger,stat,,Cy Young,team,NYM,New York Mets,team,CLE,Cleveland Guardians,team,ATL,Atlanta Braves
52,team,OAK, Athletics,stat,,World Series ChampWS Roster,stat,,Hall of Fame,team,NYY,New York Yankees,team,ANA,Los Angeles Angels,team,PHI,Philadelphia Phillies
53,team,HOU,Houston Astros,stat,,Gold Glove,stat,,World Series ChampWS Roster,team,ATL,Atlanta Braves,team,ARI,Arizona Diamondbacks,team,MIN,Minnesota Twins
54,team,ARI,Arizona Diamondbacks,stat,,Rookie of the Year,stat,,Cy Young,team,PIT,Pittsburgh Pirates,team,PHI,Philadelphia Phillies,team,CHC,Chicago Cubs
55,team,LAD,Los Angeles Dodgers,stat,,Silver Slugger,stat,,MVP,team,BAL,Baltimore Orioles,team,DET,Detroit Tigers,team,FLA,Miami Marlins
56,team,SDP,San Diego Padres,stat,,Hall of Fame,stat,,Gold Glove,team,CIN,Cincinnati Reds,team,KCR,Kansas City Royals,team,OAK, Athletics
57,team,CHW,Chicago  White Sox,stat,,Rookie of the Year,stat,,Silver Slugger,team,COL,Colorado Rockies,team,WSN,Washington Nationals,team,MIN,Minnesota Twins
58,team,NYM,New York Mets,stat,,All Star,stat,,Cy Young,team,ANA,Los Angeles Angels,team,BOS,Boston   Red Sox,team,MIL,Milwaukee Brewers
59,team,DET,Detroit Tigers,stat,,Gold Glove,stat,,MVP,team,KCR,Kansas City Royals,team,LAD,Los Angeles Dodgers,team,SFG,San Francisco Giants
60,team,SEA,Seattle Mariners,stat,,All Star,stat,,Silver Slugger,team,HOU,Houston Astros,team,SDP,San Diego Padres,team,TOR,Toronto  Blue Jays
61,team,STL,St. Louis Cardinals,stat,,Hall of Fame,stat,,40+ HR SeasonBatting,team,CHC,Chicago Cubs,team,SFG,San Francisco Giants,team,CHW,Chicago  White Sox
62,team,PHI,Philadelphia Phillies,team,ATL,Atlanta Braves,stat,,100+ RBI SeasonBatting,team,CLE,Cleveland Guardians,team,MIN,Minnesota Twins,team,NYY,New York Yankees
63,team,PIT,Pittsburgh Pirates,team,TEX,Texas Rangers,stat,,Gold Glove,team,ARI,Arizona Diamondbacks,team,WSN,Washington Nationals,team,TBD,Tampa Bay Rays
64,team,SFG,San Francisco Giants,team,TOR,Toronto  Blue Jays,stat,,World Series ChampWS Roster,team,NYM,New York Mets,team,FLA,Miami Marlins,stat,,200+ Hits SeasonBatting
65,team,NYY,New York Yankees,team,MIL,Milwaukee Brewers,stat,,.300+ AVG SeasonBatting,team,COL,Colorado Rockies,team,OAK, Athletics,team,STL,St. Louis Cardinals
66,team,SDP,San Diego Padres,team,TBD,Tampa Bay Rays,stat,,40+ HR SeasonBatting,team,KCR,Kansas City Royals,team,PHI,Philadelphia Phillies,stat,,200+ K SeasonPitching
67,team,ARI,Arizona Diamondbacks,team,BOS,Boston   Red Sox,stat,,30+ SB Season,team,BAL,Baltimore Orioles,team,DET,Detroit Tigers,team,FLA,Miami Marlins
68,team,HOU,Houston Astros,team,WSN,Washington Nationals,stat,,40+ Save SeasonPitching,team,KCR,Kansas City Royals,team,TEX,Texas Rangers,stat,,20+ Win SeasonPitching
69,team,TEX,Texas Rangers,team,PHI,Philadelphia Phillies,stat,,100+ RBI SeasonBatting,team,ANA,Los Angeles Angels,team,ATL,Atlanta Braves,team,MIL,Milwaukee Brewers
70,team,COL,Colorado Rockies,team,FLA,Miami Marlins,stat,,Rookie of the Year,team,CHC,Chicago Cubs,team,SFG,San Francisco Giants,stat,,200+ Hits SeasonBatting
71,team,OAK, Athletics,team,CHW,Chicago  White Sox,stat,,.300+ AVG SeasonBatting,team,CLE,Cleveland Guardians,team,MIN,Minnesota Twins,team,NYY,New York Yankees
72,team,CHC,Chicago Cubs,team,STL,St. Louis Cardinals,stat,,30+ SB Season,team,ARI,Arizona Diamondbacks,team,WSN,Washington Nationals,stat,,500+ HR CareerBatting
73,team,KCR,Kansas City Royals,team,ATL,Atlanta Braves,stat,,MVP,team,HOU,Houston Astros,team,LAD,Los Angeles Dodgers,stat,,3000+ Hits CareerBatting
74,team,DET,Detroit Tigers,team,SDP,San Diego Padres,stat,,200+ K SeasonPitching,team,BAL,Baltimore Orioles,team,BOS,Boston   Red Sox,team,NYM,New York Mets
75,team,ANA,Los Angeles Angels,team,SFG,San Francisco Giants,stat,,30+ HR /30+ SB SeasonBatting,team,CIN,Cincinnati Reds,team,CLE,Cleveland Guardians,team,MIL,Milwaukee Brewers
76,team,WSN,Washington Nationals,team,TOR,Toronto  Blue Jays,stat,,Cy Young,team,FLA,Miami Marlins,team,NYY,New York Yankees,stat,,20+ Win SeasonPitching
77,team,COL,Colorado Rockies,team,LAD,Los Angeles Dodgers,stat,,200+ Hits SeasonBatting,team,HOU,Houston Astros,team,STL,St. Louis Cardinals,team,MIN,Minnesota Twins
78,team,NYM,New York Mets,team,OAK, Athletics,stat,,Gold Glove,team,ARI,Arizona Diamondbacks,team,ATL,Atlanta Braves,stat,,100+ RBI SeasonBatting
79,team,CHC,Chicago Cubs,team,TEX,Texas Rangers,stat,,40+ Save SeasonPitching,team,BAL,Baltimore Orioles,team,PIT,Pittsburgh Pirates,team,SEA,Seattle Mariners
80,team,CIN,Cincinnati Reds,team,SDP,San Diego Padres,stat,,World Series ChampWS Roster,team,BOS,Boston   Red Sox,team,PHI,Philadelphia Phillies,stat,,40+ HR SeasonBatting
81,team,DET,Detroit Tigers,team,STL,St. Louis Cardinals,stat,,.300+ AVG SeasonBatting,team,ANA,Los Angeles Angels,team,TBD,Tampa Bay Rays,stat,,20+ Win SeasonPitching
82,team,ARI,Arizona Diamondbacks,team,TOR,Toronto  Blue Jays,stat,,30+ HR /30+ SB SeasonBatting,team,COL,Colorado Rockies,team,NYM,New York Mets,team,ATL,Atlanta Braves
83,team,HOU,Houston Astros,team,SFG,San Francisco Giants,stat,,MVP,team,CIN,Cincinnati Reds,team,PIT,Pittsburgh Pirates,stat,,30+ SB Season
84,team,LAD,Los Angeles Dodgers,team,NYY,New York Yankees,stat,,Hall of Fame,team,CHW,Chicago  White Sox,team,MIL,Milwaukee Brewers,stat,,3000+ K CareerPitching
85,team,BOS,Boston   Red Sox,team,CLE,Cleveland Guardians,stat,,200+ K SeasonPitching,team,KCR,Kansas City Royals,team,SEA,Seattle Mariners,team,TEX,Texas Rangers
86,team,BAL,Baltimore Orioles,team,MIN,Minnesota Twins,stat,,3000+ Hits CareerBatting,team,OAK, Athletics,team,SDP,San Diego Padres,stat,,500+ HR CareerBatting
87,team,WSN,Washington Nationals,team,FLA,Miami Marlins,stat,,20+ Win SeasonPitching,team,ANA,Los Angeles Angels,team,CHC,Chicago Cubs,team,NYM,New York Mets
88,team,TOR,Toronto  Blue Jays,team,PHI,Philadelphia Phillies,stat,,Rookie of the Year,team,DET,Detroit Tigers,team,TBD,Tampa Bay Rays,stat,,40+ HR SeasonBatting
89,team,COL,Colorado Rockies,team,PIT,Pittsburgh Pirates,stat,,100+ RBI SeasonBatting,team,ARI,Arizona Diamondbacks,team,HOU,Houston Astros,team,SFG,San Francisco Giants
90,team,ATL,Atlanta Braves,team,NYY,New York Yankees,stat,,Gold Glove,team,KCR,Kansas City Royals,team,LAD,Los Angeles Dodgers,stat,,300+ Wins CareerPitching
91,team,STL,St. Louis Cardinals,team,CHW,Chicago  White Sox,stat,,200+ Hits SeasonBatting,team,BAL,Baltimore Orioles,team,CIN,Cincinnati Reds,team,OAK, Athletics
92,team,FLA,Miami Marlins,team,MIL,Milwaukee Brewers,stat,,40+ Save SeasonPitching,team,BOS,Boston   Red Sox,team,MIN,Minnesota Twins,stat,,All Star
93,team,CHC,Chicago Cubs,team,CLE,Cleveland Guardians,stat,,.300+ AVG SeasonBatting,team,BAL,Baltimore Orioles,team,NYM,New York Mets,team,SEA,Seattle Mariners
94,team,HOU,Houston Astros,team,LAD,Los Angeles Dodgers,stat,,200+ K SeasonPitching,team,TBD,Tampa Bay Rays,team,PHI,Philadelphia Phillies,stat,,Cy Young
95,team,COL,Colorado Rockies,team,ATL,Atlanta Braves,stat,,40+ HR SeasonBatting,team,DET,Detroit Tigers,team,STL,St. Louis Cardinals,team,NYY,New York Yankees
96,team,OAK, Athletics,team,TOR,Toronto  Blue Jays,stat,,MVP,team,PIT,Pittsburgh Pirates,team,SFG,San Francisco Giants,stat,,20+ Win SeasonPitching
97,team,WSN,Washington Nationals,team,SDP,San Diego Padres,stat,,30+ SB Season,team,KCR,Kansas City Royals,team,TEX,Texas Rangers,team,MIL,Milwaukee Brewers
98,team,BOS,Boston   Red Sox,team,CLE,Cleveland Guardians,stat,,Cy Young,team,CHC,Chicago Cubs,team,MIN,Minnesota Twins,stat,,3000+ K CareerPitching
99,team,CIN,Cincinnati Reds,team,TBD,Tampa Bay Rays,stat,,All Star,team,ANA,Los Angeles Angels,team,BAL,Baltimore Orioles,team,ATL,Atlanta Braves
100,team,HOU,Houston Astros,team,NYM,New York Mets,stat,,200+ Hits SeasonBatting,team,LAD,Los Angeles Dodgers,team,NYY,New York Yankees,team,PHI,Philadelphia Phillies
101,team,CHW,Chicago  White Sox,team,SEA,Seattle Mariners,stat,,100+ RBI SeasonBatting,team,ARI,Arizona Diamondbacks,team,FLA,Miami Marlins,stat,,Rookie of the Year
102,team,COL,Colorado Rockies,team,SDP,San Diego Padres,stat,,500+ HR CareerBatting,team,DET,Detroit Tigers,team,OAK, Athletics,team,SFG,San Francisco Giants
103,team,PIT,Pittsburgh Pirates,team,TOR,Toronto  Blue Jays,stat,,.300+ AVG SeasonBatting,team,ATL,Atlanta Braves,team,CIN,Cincinnati Reds,stat,,Hall of Fame
104,team,BAL,Baltimore Orioles,team,KCR,Kansas City Royals,stat,,300+ Wins CareerPitching,team,CLE,Cleveland Guardians,team,NYM,New York Mets,team,STL,St. Louis Cardinals
105,team,ANA,Los Angeles Angels,team,DET,Detroit Tigers,stat,,40+ HR SeasonBatting,team,BOS,Boston   Red Sox,team,CHC,Chicago Cubs,team,CHW,Chicago  White Sox
106,team,TEX,Texas Rangers,team,WSN,Washington Nationals,stat,,200+ K SeasonPitching,team,HOU,Houston Astros,team,LAD,Los Angeles Dodgers,stat,,Gold Glove
107,team,PHI,Philadelphia Phillies,team,MIL,Milwaukee Brewers,stat,,Silver Slugger,team,NYY,New York Yankees,team,MIN,Minnesota Twins,team,FLA,Miami Marlins
108,team,TOR,Toronto  Blue Jays,team,OAK, Athletics,stat,,All Star,team,TBD,Tampa Bay Rays,team,MIN,Minnesota Twins,stat,,100+ RBI SeasonBatting
109,team,KCR,Kansas City Royals,team,NYM,New York Mets,stat,,.300+ AVG CareerBatting,team,SFG,San Francisco Giants,team,PIT,Pittsburgh Pirates,team,CIN,Cincinnati Reds
110,team,SDP,San Diego Padres,team,STL,St. Louis Cardinals,stat,,30+ SB Season,team,COL,Colorado Rockies,team,CLE,Cleveland Guardians,team,ARI,Arizona Diamondbacks
111,team,ATL,Atlanta Braves,team,DET,Detroit Tigers,stat,,MVP,team,ANA,Los Angeles Angels,team,TEX,Texas Rangers,stat,,Rookie of the Year
112,team,CHC,Chicago Cubs,team,CHW,Chicago  White Sox,team,BAL,Baltimore Orioles,team,MIN,Minnesota Twins,team,LAD,Los Angeles Dodgers,team,WSN,Washington Nationals
113,team,BOS,Boston   Red Sox,team,TBD,Tampa Bay Rays,stat,,Hall of Fame,team,NYY,New York Yankees,team,SEA,Seattle Mariners,stat,,300+ Save CareerPitching
114,team,CLE,Cleveland Guardians,team,PHI,Philadelphia Phillies,stat,,200+ Hits SeasonBatting,team,TOR,Toronto  Blue Jays,team,MIL,Milwaukee Brewers,stat,,100+ RBI SeasonBatting
115,team,HOU,Houston Astros,team,FLA,Miami Marlins,stat,,All Star,team,KCR,Kansas City Royals,team,OAK, Athletics,team,NYM,New York Mets
116,team,SFG,San Francisco Giants,team,SDP,San Diego Padres,stat,,Gold Glove,team,STL,St. Louis Cardinals,team,ANA,Los Angeles Angels,stat,,40+ HR SeasonBatting
117,team,PIT,Pittsburgh Pirates,team,CIN,Cincinnati Reds,stat,,200+ K SeasonPitching,team,DET,Detroit Tigers,team,TEX,Texas Rangers,team,COL,Colorado Rockies
118,team,BOS,Boston   Red Sox,team,ATL,Atlanta Braves,stat,,Cy Young,team,CHW,Chicago  White Sox,team,BAL,Baltimore Orioles,stat,,20+ Win SeasonPitching
119,team,MIN,Minnesota Twins,team,ARI,Arizona Diamondbacks,stat,,3000+ K CareerPitching,team,LAD,Los Angeles Dodgers,team,WSN,Washington Nationals,team,NYY,New York Yankees
120,team,CLE,Cleveland Guardians,team,CHC,Chicago Cubs,stat,,MVP,team,PHI,Philadelphia Phillies,team,OAK, Athletics,stat,,3000+ Hits CareerBatting
121,team,SEA,Seattle Mariners,team,MIL,Milwaukee Brewers,stat,,30+ SB Season,team,TOR,Toronto  Blue Jays,team,HOU,Houston Astros,team,ANA,Los Angeles Angels
122,team,KCR,Kansas City Royals,team,FLA,Miami Marlins,stat,,100+ RBI SeasonBatting,team,PIT,Pittsburgh Pirates,team,TEX,Texas Rangers,team,BAL,Baltimore Orioles
123,team,SFG,San Francisco Giants,team,CIN,Cincinnati Reds,stat,,.300+ AVG SeasonBatting,team,CLE,Cleveland Guardians,team,BOS,Boston   Red Sox,stat,,Rookie of the Year
124,team,SDP,San Diego Padres,team,OAK, Athletics,stat,,40+ HR SeasonBatting,team,WSN,Washington Nationals,team,LAD,Los Angeles Dodgers,team,ATL,Atlanta Braves
125,stat,,.300+ AVG CareerBatting,stat,,Gold Glove,stat,,Hall of Fame,stat,,500+ HR CareerBatting,stat,,Silver Slugger,stat,,MVP
126,team,CHW,Chicago  White Sox,team,DET,Detroit Tigers,team,PIT,Pittsburgh Pirates,team,TBD,Tampa Bay Rays,team,MIL,Milwaukee Brewers,stat,,All Star
127,team,ANA,Los Angeles Angels,team,CHC,Chicago Cubs,stat,,World Series ChampWS Roster,team,STL,St. Louis Cardinals,team,HOU,Houston Astros,stat,,300+ Save CareerPitching
128,team,NYM,New York Mets,team,TOR,Toronto  Blue Jays,stat,,20+ Win SeasonPitching,team,TEX,Texas Rangers,team,DET,Detroit Tigers,stat,,200+ K SeasonPitching
129,team,PIT,Pittsburgh Pirates,team,SFG,San Francisco Giants,stat,,Rookie of the Year,team,NYY,New York Yankees,team,MIN,Minnesota Twins,stat,,Gold Glove
130,team,PHI,Philadelphia Phillies,team,SEA,Seattle Mariners,stat,,40+ HR SeasonBatting,team,TEX,Texas Rangers,team,BAL,Baltimore Orioles,team,COL,Colorado Rockies
131,team,ARI,Arizona Diamondbacks,team,SFG,San Francisco Giants,team,FLA,Miami Marlins,team,ATL,Atlanta Braves,team,CHC,Chicago Cubs,team,CIN,Cincinnati Reds
132,stat,,300+ Wins CareerPitching,team,NYM,New York Mets,stat,,Cy Young,stat,,3000+ K CareerPitching,team,BOS,Boston   Red Sox,stat,,Hall of Fame
133,team,KCR,Kansas City Royals,team,LAD,Los Angeles Dodgers,stat,,.300+ AVG SeasonBatting,team,ANA,Los Angeles Angels,team,DET,Detroit Tigers,team,MIL,Milwaukee Brewers
134,team,CLE,Cleveland Guardians,team,WSN,Washington Nationals,stat,,30+ SB Season,team,NYY,New York Yankees,team,TBD,Tampa Bay Rays,stat,,200+ Hits SeasonBatting
135,team,OAK, Athletics,team,BAL,Baltimore Orioles,stat,,Silver Slugger,team,TEX,Texas Rangers,team,TOR,Toronto  Blue Jays,stat,,3000+ Hits CareerBatting
136,team,SDP,San Diego Padres,team,STL,St. Louis Cardinals,stat,,20+ Win SeasonPitching,team,CHW,Chicago  White Sox,team,HOU,Houston Astros,team,PIT,Pittsburgh Pirates
137,team,MIN,Minnesota Twins,team,ATL,Atlanta Braves,stat,,All Star,team,PHI,Philadelphia Phillies,team,SEA,Seattle Mariners,stat,,MVP
138,team,MIL,Milwaukee Brewers,team,WSN,Washington Nationals,stat,,100+ RBI SeasonBatting,team,COL,Colorado Rockies,team,CIN,Cincinnati Reds,team,NYM,New York Mets
139,team,ARI,Arizona Diamondbacks,team,NYY,New York Yankees,stat,,30+ HR /30+ SB SeasonBatting,stat,,All Star,stat,,.300+ AVG SeasonBatting,stat,,Gold Glove
140,team,SDP,San Diego Padres,team,TOR,Toronto  Blue Jays,stat,,.300+ AVG CareerBatting,team,FLA,Miami Marlins,team,CHC,Chicago Cubs,team,BOS,Boston   Red Sox
141,team,TEX,Texas Rangers,team,DET,Detroit Tigers,team,LAD,Los Angeles Dodgers,team,SFG,San Francisco Giants,team,CLE,Cleveland Guardians,team,STL,St. Louis Cardinals
142,team,CHW,Chicago  White Sox,team,BAL,Baltimore Orioles,stat,,40+ HR SeasonBatting,team,HOU,Houston Astros,team,ANA,Los Angeles Angels,stat,,500+ HR CareerBatting
143,team,BOS,Boston   Red Sox,team,CIN,Cincinnati Reds,stat,,200+ K SeasonPitching,team,PIT,Pittsburgh Pirates,team,OAK, Athletics,team,ATL,Atlanta Braves
144,team,KCR,Kansas City Royals,team,SDP,San Diego Padres,stat,,30+ SB Season,team,MIN,Minnesota Twins,team,PHI,Philadelphia Phillies,team,SEA,Seattle Mariners
145,team,ATL,Atlanta Braves,team,TEX,Texas Rangers,stat,,Hall of Fame,team,MIL,Milwaukee Brewers,team,WSN,Washington Nationals,team,CHC,Chicago Cubs
146,team,TOR,Toronto  Blue Jays,stat,,200+ Hits SeasonBatting,stat,,Rookie of the Year,stat,,40+ HR SeasonBatting,team,STL,St. Louis Cardinals,stat,,All Star
147,team,CHW,Chicago  White Sox,team,SEA,Seattle Mariners,stat,,20+ Win SeasonPitching,team,SFG,San Francisco Giants,team,NYM,New York Mets,team,NYY,New York Yankees
148,team,ARI,Arizona Diamondbacks,stat,,Gold Glove,stat,,Cy Young,team,DET,Detroit Tigers,team,CLE,Cleveland Guardians,team,OAK, Athletics
149,team,FLA,Miami Marlins,team,TEX,Texas Rangers,stat,,3000+ Hits CareerBatting,team,LAD,Los Angeles Dodgers,team,ANA,Los Angeles Angels,team,BOS,Boston   Red Sox
150,team,CIN,Cincinnati Reds,team,SFG,San Francisco Giants,stat,,.300+ AVG CareerBatting,team,BAL,Baltimore Orioles,team,HOU,Houston Astros,team,SDP,San Diego Padres
151,team,ATL,Atlanta Braves,team,NYM,New York Mets,team,CHC,Chicago Cubs,team,MIN,Minnesota Twins,team,PIT,Pittsburgh Pirates,team,TBD,Tampa Bay Rays
152,team,SEA,Seattle Mariners,team,KCR,Kansas City Royals,stat,,40+ Save SeasonPitching,team,WSN,Washington Nationals,team,STL,St. Louis Cardinals,team,CLE,Cleveland Guardians
153,stat,,40+ HR SeasonBatting,team,COL,Colorado Rockies,stat,,MVP,stat,,Silver Slugger,team,NYY,New York Yankees,stat,,.300+ AVG SeasonBatting
154,team,SFG,San Francisco Giants,team,WSN,Washington Nationals,stat,,Gold Glove,team,PHI,Philadelphia Phillies,team,MIL,Milwaukee Brewers,team,TOR,Toronto  Blue Jays
