playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
reesepe01,1984,Veterans,,,,Y,Player,
riceji01,2009,BBWAA,539.0,405.0,412.0,Y,Player,
ricesa01,1963,Veterans,,,,Y,Player,Group B - Rule change removed from BBWAA ballot - two could be elected from Group B
ripkeca01,2007,BBWAA,545.0,409.0,537.0,Y,Player,
riverma01,2019,BBWAA,425.0,319.0,425.0,Y,Player,
rixeyep01,1963,Veterans,,,,Y,Player,Group B - Rule change removed from BBWAA ballot - two could be elected from Group B
rizzuph01,1994,Veterans,,,,Y,Player,
roberro01,1976,BBWAA,388.0,291.0,337.0,Y,Player,
robinbr01,1983,BBWAA,374.0,281.0,344.0,Y,Player,
robinfr02,1982,BBWAA,415.0,312.0,370.0,Y,Player,
robinja02,1962,BBWAA,160.0,120.0,124.0,Y,Player,
rodriiv01,2017,BBWAA,442.0,332.0,336.0,Y,Player,
roganbu99,1998,Veterans,,,,Y,Player,
rolensc01,2023,BBWAA,389.0,292.0,297.0,Y,Player,
roushed01,1962,Veterans,,,,Y,Player,
ruffire01,1967,Run Off,306.0,,266.0,Y,Player,Player receiving most votes inducted
rusieam01,1977,Veterans,,,,Y,Player,
ruthba01,1936,BBWAA,226.0,170.0,215.0,Y,Player,
ryanno01,1999,BBWAA,497.0,373.0,491.0,Y,Player,
sabatcc01,2025,BBWAA,394.0,296.0,342.0,Y,Player,
sandbry01,2005,BBWAA,516.0,387.0,393.0,Y,Player,
santolo99,2006,Negro League,,,,Y,Player,
santoro01,2012,Veterans - Golden Era,16.0,12.0,15.0,Y,Player,
schalra01,1955,Veterans,,,,Y,Player,
schmimi01,1995,BBWAA,460.0,345.0,444.0,Y,Player,
schoere01,1989,Veterans,,,,Y,Player,
seaveto01,1992,BBWAA,430.0,323.0,425.0,Y,Player,
seweljo01,1977,Veterans,,,,Y,Player,
simmoal01,1953,BBWAA,264.0,198.0,199.0,Y,Player,
simmote01,2020,Veterans - Modern Baseball Era,16.0,12.0,13.0,Y,Player,
sislege01,1939,BBWAA,274.0,206.0,235.0,Y,Player,
slaugen01,1985,Veterans,,,,Y,Player,
smithhi99,2001,Veterans,,,,Y,Player,
smithle02,2019,Veterans - Today's Game Era,16.0,12.0,16.0,Y,Player,
smithoz01,2002,BBWAA,472.0,354.0,433.0,Y,Player,
smoltjo01,2015,BBWAA,549.0,412.0,455.0,Y,Player,
snidedu01,1980,BBWAA,385.0,289.0,333.0,Y,Player,
spahnwa01,1973,BBWAA,380.0,285.0,316.0,Y,Player,
speaktr01,1937,BBWAA,201.0,151.0,165.0,Y,Player,
stargwi01,1988,BBWAA,427.0,321.0,352.0,Y,Player,
steartu99,2000,Veterans,,,,Y,Player,
suttebr01,2006,BBWAA,520.0,390.0,400.0,Y,Player,
suttlmu99,2006,Negro League,,,,Y,Player,
suttodo01,1998,BBWAA,473.0,355.0,386.0,Y,Player,
suzukic01,2025,BBWAA,394.0,296.0,393.0,Y,Player,
taylobe99,2006,Negro League,,,,Y,Player,
terrybi01,1954,BBWAA,252.0,189.0,195.0,Y,Player,
thomafr04,2014,BBWAA,571.0,429.0,478.0,Y,Player,
thomeji01,2018,BBWAA,422.0,317.0,379.0,Y,Player,
thompsa01,1974,Veterans,,,,Y,Player,
tinkejo01,1946,Old Timers,,,,Y,Player,
torricr99,2006,Negro League,,,,Y,Player,
trammal01,2018,Veterans - Modern Baseball Era,16.0,12.0,13.0,Y,Player,
traynpi01,1948,BBWAA,121.0,91.0,93.0,Y,Player,
vanceda01,1955,BBWAA,251.0,189.0,205.0,Y,Player,
vaughar01,1985,Veterans,,,,Y,Player,
wadderu01,1946,Old Timers,,,,Y,Player,
wagnebi02,2025,BBWAA,394.0,296.0,325.0,Y,Player,
wagneho01,1936,BBWAA,226.0,170.0,215.0,Y,Player,
walkela01,2020,BBWAA,397.0,298.0,304.0,Y,Player,
wallabo01,1953,Veterans,,,,Y,Player,
walshed01,1946,Old Timers,,,,Y,Player,
wanerll01,1967,Veterans,12.0,9.0,12.0,Y,Player,Inducted by unanimous vote from 12-man committee
wanerpa01,1952,BBWAA,234.0,176.0,195.0,Y,Player,
wardjo01,1964,Veterans,,,,Y,Player,
welchmi01,1973,Veterans,,,,Y,Player,
wellswi99,1997,Veterans,,,,Y,Player,
wheatza01,1959,Veterans,,,,Y,Player,
whitede01,2013,Veterans - Pre-Integration Era,16.0,12.0,14.0,Y,Player,
wilheho01,1985,BBWAA,395.0,297.0,331.0,Y,Player,
willibi01,1987,BBWAA,413.0,310.0,354.0,Y,Player,
willijo99,1999,Veterans,,,,Y,Player,
willite01,1966,BBWAA,302.0,227.0,282.0,Y,Player,
willivi01,1995,Veterans,,,,Y,Player,
wilsoha01,1979,Veterans,,,,Y,Player,
wilsoju99,2006,Negro League,,,,Y,Player,
winfida01,2001,BBWAA,515.0,387.0,435.0,Y,Player,
wynnea01,1972,BBWAA,396.0,297.0,301.0,Y,Player,
yastrca01,1989,BBWAA,447.0,336.0,423.0,Y,Player,
youngcy01,1937,BBWAA,201.0,151.0,153.0,Y,Player,
youngro01,1972,Veterans,,,,Y,Player,
yountro01,1999,BBWAA,497.0,373.0,385.0,Y,Player,
